evento_id,viaje_id,carro_modelo,autonomia_km,origen_nombre,destino_nombre,evento_nodo,evento_lat,evento_lon,bateria_pct,km_restantes,electro_id,electro_nombre,electro_nodo,electro_lat,electro_lon,dist_electro_km
1,22,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,1197337231,6.994904,-73.078364,19.96,37.9213,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.9112
2,39,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),1110493817,7.055364,-73.090779,18.49,35.1329,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,4.6629
3,48,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,1197337447,6.996199,-73.083543,19.99,90.949,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,4.6085
4,53,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Florida,5937869406,6.990583,-73.070819,19.9,37.8083,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,2.8809
5,67,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Central,839096808,7.124768,-73.11789,19.97,37.939,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1.4653
6,92,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UTS (Unidades Tecnológicas de Santander),12843060651,7.107744,-73.119217,20.0,37.9914,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,0.9045
7,109,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),UIS Parque Tecnológico Guatiguará,1564073871,7.018723,-73.095927,19.92,37.8479,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.3927
8,114,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,Sede Recreacional Catay,582307372,7.122966,-73.11716,19.98,90.9205,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1.0337
9,130,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),5388414967,6.979017,-73.048385,19.98,37.9581,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.5998
10,152,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Florida,1564073871,7.018723,-73.095927,19.85,37.7171,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.3927
11,159,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),1713199335,7.003169,-73.096443,19.99,90.9334,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,7.7879
12,174,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,UNAB,839097386,7.12455,-73.107871,19.99,37.9853,1,Centro Comercial Quinta Etapa,2746158992,7.115473864260488,-73.10771498564486,1.2223
13,203,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UNAB,5932171430,7.072952,-73.107178,19.98,37.9649,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.3755
14,211,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,UIS Campus Florida,599130228,7.088315,-73.098402,19.9,90.5614,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.5863
15,217,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),Sede Recreacional Catay,599017879,7.035109,-73.090036,20.0,37.9941,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,8.6948
16,229,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,839102636,7.075369,-73.104226,19.99,37.987,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.874
17,247,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UIS Campus Florida,839103922,7.108618,-73.118963,19.98,37.97,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,0.9421
18,260,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),Sede Recreacional Catay,1197395963,7.006195,-73.098684,19.98,90.9124,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,8.8647
19,277,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,PTAR Río Frío,839100985,7.07618,-73.103952,19.99,37.9746,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.9691
20,293,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,Sede Recreacional Catay,606292524,7.060637,-73.091317,19.68,37.3951,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,5.6414
